Title,Author,ISBN13,"Correct Book, not nice image",Broken ISBN
1984,George Orwell,9781782124207,9780141182476,
1Q84 (Vintage International),Haruki Murakami,9780307593313,,9782264057884
A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel,9781324002185,,
A Short Stay in Hell,Steven L. Peck,9780983748427,,
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,9780307279460,9781101970881,
Accelerate: The Science of Lean Software and DevOps: Building and Scaling High Performing Technology Organizations,Nicole Forsgren,9781942788331,,9781942788379
Anna Karenina,Leo Tolstoy,9780521313254,9781594562310,
Beacon 23,Hugh Howey,9780544839601,9781516865871,
Beautiful Losers,Leonard Cohen,9780007318384,9780679748250,
Conversations For Action and Collected Essays: Instilling a Culture of Commitment in Working Relationships,Fernando Flores,9781478378488,9781623461348,
Dave Barry's Only Travel Guide You'll Ever Need,Dave Barry,9780345431134,,
Early Riser,Jasper Fforde,9780670025039,9781444763607,
Fairy Tale,Stephen King,9781399705455,9781399705424,
Hollow Kingdom (Hollow Kingdom #1),Kira Jane Buxton,9781538745823,,9780805081084
How to Talk to Girls at Parties,Neil Gaiman,9781630089672,,
How to Win Friends and Influence People,Dale Carnegie,9780671027032,,9789500727129
I Am a Strange Loop,Douglas R. Hofstadter,9780465008377,,
Kindred,Octavia E. Butler,9781472258229,9780807083697,9786053759263
Little Fires Everywhere,Celeste Ng,9780735224292,9780525507505,
Managing Humans: Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,9781430243151,,
Never Let Me Go,Kazuo Ishiguro,9780571224111,,
Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,9780062407801,,9798417157134
Noir,Christopher Moore,9780062433978,,
On the Come Up,Angie Thomas,9780062498564,,
"One of Our Thursdays Is Missing (Thursday Next, #6)",Jasper Fforde,9781456123680,9780340963098,
Piranesi,Susanna Clarke,9783453321984,,
"Ready Player One (Ready Player One, #1)",Ernest Cline,9780307887443,9783596296590,
"Red Rising (Red Rising Saga, #1)",Pierce Brown,9781594137747,,
Red Side Story (Shades of Grey #2),Jasper Fforde,9781641296298,,
Ring Shout,P. Djèlí Clark,9781250767028,,
"Sand (The Sand Chronicles, #1)",Hugh Howey,9781494904487,9780099595151,
"Scythe (Arc of a Scythe, #1)",Neal Shusterman,9781442472433,9781442472426,
Sh*t My Dad Says,Justin Halpern,9780061992704,,
"Shades of Grey (Shades of Grey, #1)",Jasper Fforde,9780143118589,9781101159651,
Snow Crash,Neal Stephenson,9780553562613,9780141884806,
Solutions and Other Problems,Allie Brosh,9781982156954,,
Something Wicked This Way Comes,Ray Bradbury,9780380729401,,
"Tales of the City (Tales of the City, #1)",Armistead Maupin,9780552998765,,
The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,9781492670124,9781408889572,
The Book of Lost Things,John Connolly,9780743298858,9781428120402,
The Book Thief,Markus Zusak,9780375842207,9788483468807,
"The Companions (The Sundering, #1, The Legend of Drizzt, #27)",R.A. Salvatore,9780786965229,,
The Constant Rabbit,Jasper Fforde,9781444763645,,
The First 90 Days: Proven Strategies for Getting Up to Speed Faster and Smarter,Michael D. Watkins,9781422188613,,
The Frugal Wizard's Handbook for Surviving Medieval England,Brandon Sanderson,9781250899675,,
The Girl on the Train,Paula Hawkins,9780735219755,,
The Girl With All the Gifts,M.R. Carey,9780316278157,9780316334754,
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,9780062498533,9788365830982,
The Hike,Drew Magary,9780399563874,,
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,9781250217288,9781250891884,
The Imperfection of Us,Nick Alexander,9781805080015,,
The Kaiju Preservation Society,John Scalzi,9780765389121,,
"The Last Dragonslayer (The Last Dragonslayer, #1)",Jasper Fforde,9780544104716,9781443407489,
The Maine Woods: Henry David Thoreau's Reflections on Nature and Wilderness,Henry David Thoreau,9780691118772,,
The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,9781491973899,,
The Martian,Andy Weir,9780804139021,9780804189354,
The Midnight Library,Matt Haig,9781786892737,,
